a;b;c
2536.70; 2144.58; 2045.33
5669.53; 5786.11; 5488.37
-225.44; -100.58; -210.35
-2012.51; -2412.51; -1841.91
-6060.61; -5813.02; -5527.72
3684.53; 2941.22; 3226.52
5814.63; 6552.59; 7408.50
944.93; 598.40; 924.49
-3713.32; -3351.72; -4338.28
-7259.84; -6812.76; -7306.03
777.36; 1418.53; 925.25
5318.70; 4040.80; 2560.97
-1419.60; -939.41; -1449.56
-2530.76; -3159.73; -3424.18
-6253.89; -6147.47; -6279.69
2154.24; 2635.80; 2503.58
4933.00; 5410.79; 5014.11
-361.77; -185.69; -489.57
-2380.09; -2192.97; -2223.77
-6097.98; -6836.53; -6851.93
2106.02; 2648.16; 2632.76
5544.35; 5599.47; 5553.27
-115.19; -80.62; -34.85
-2226.36; -2279.13; -2316.52
-6779.38; -6537.52; -6556.22
2218.26; 2497.64; 2478.94
5674.98; 5286.23; 5230.13
-150.53; -113.21; -155.27
-838.26; -1122.62; 152.49
-5705.89; -5668.58; -5031.03
4023.91; 3379.43; 4016.98
5895.65; 6570.46; 8483.11
1995.87; 1270.90; 1951.03
-2057.52; -2779.19; -2728.48
-6222.51; -6000.00; -5974.64
2672.27; 2112.20; 2137.56
5375.74; 5751.68; 5827.75
116.26; 76.26; 88.95
-4037.85; -4303.53; -5812.56
-7426.89; -7471.42; -8225.94
668.16; 820.79; 66.27
5118.11; 4325.03; 2061.48
-2177.09; -1434.83; -2248.85
-2290.92; -1987.88; -1414.78
-6645.11; -5923.97; -5637.42
3325.85; 2809.91; 3096.46
5641.38; 6090.37; 6950.02
955.76; 549.07; 863.98
-3354.28; -2548.95; -2988.11
-6618.36; -6363.63; -6583.21
1771.90; 1643.70; 1424.12
5194.52; 5101.03; 4442.28
-585.81; -526.70; -564.56
-1337.72; -1427.86; -462.10
-6060.01; -5813.48; -5330.60
3923.47; 3235.77; 3718.66
6010.10; 6132.06; 7580.71
1383.58; 963.60; 1491.50
-2306.35; -2895.94; -2880.75
-6874.11; -6095.03; -6087.44
2150.96; 2038.51; 2046.10
5226.65; 5308.22; 5330.99
-37.48; 49.40; 16.40
-2973.48; -3163.37; -4039.60
-7108.52; -6655.04; -7093.15
776.91; 1863.53; 1425.42
5464.25; 4909.53; 3595.18
-1221.21; -887.13; -1391.99
-2924.83; -3478.89; -4318.53
-7283.25; -6924.80; -7344.62
1093.84; 1540.00; 1120.18
4757.26; 5028.75; 3769.29
-1354.34; -823.34; -1175.41
-2002.14; -2090.33; -1784.99
-6359.27; -6467.87; -6315.19
2673.75; 2506.30; 2658.97
5830.50; 5745.49; 6203.51
429.98; 278.03; 540.31
-3142.22; -3394.35; -3956.74
-6624.22; -6778.14; -7059.33
1907.85; 2036.35; 1755.15
4941.24; 5397.73; 4554.15
-919.83; -493.71; -821.59
-1580.39; -1714.70; -696.20
-5613.99; -5971.23; -5461.98
4106.16; 3787.57; 4296.82
5930.80; 6975.81; 8503.56
1522.99; 1092.46; 1555.63
-1576.66; -1059.42; 319.31
-5603.92; -5689.65; -5000.28
4310.50; 3588.73; 4278.10
6162.98; 7021.55; 9089.65
1995.70; 1375.80; 2141.61
-2379.90; -2850.07; -2875.36
-6187.47; -6986.34; -6998.99
2628.53; 1975.01; 1962.37
5219.59; 5099.56; 5061.62
-28.01; -90.16; -129.96
-1643.82; -1931.02; -1528.08
-6096.33; -6314.77; -6113.30
3201.80; 2711.01; 2912.47
5710.26; 5710.23; 6314.63
509.54; 424.52; 561.50
-2763.35; -2049.26; -1894.23
-6537.74; -6153.06; -6075.54
2534.38; 2518.55; 2596.07
5158.89; 5591.20; 5823.75
329.65; 130.13; 251.07
-2870.29; -2497.58; -2420.35
-6217.75; -6947.73; -6909.11
2258.24; 2171.32; 2209.93
5490.42; 5970.77; 6086.62
161.67; 20.73; 128.14
-2457.15; -2379.68; -2696.13
-6358.66; -7009.09; -7167.31
1702.69; 2391.15; 2232.92
4870.60; 5111.00; 4636.32
-455.86; -272.11; -564.67
-1927.11; -2302.71; -2181.47
-6043.55; -6370.43; -6309.81
2836.41; 2976.93; 3037.55
5693.93; 5318.22; 5500.07
254.88; 59.70; 177.81
-2765.53; -2857.19; -3510.96
-6992.87; -6997.58; -7324.46
1163.08; 1368.29; 1041.41
5448.87; 5187.81; 4207.16
-890.89; -582.39; -1001.91
-3443.38; -3071.09; -4089.37
-6755.31; -7425.84; -7934.98
867.77; 1266.52; 757.38
5314.30; 4268.71; 2741.29
-1518.31; -918.72; -1590.04
-3337.09; -3015.43; -3801.65
-7059.99; -6977.02; -7370.13
1085.90; 1230.49; 837.37
4860.83; 4838.47; 3659.13
-1162.68; -802.51; -1091.59
-2306.04; -2133.12; -2216.57
-6963.66; -6453.99; -6495.71
2284.09; 1968.79; 1927.07
5285.53; 5450.73; 5325.57
-174.91; -157.09; -170.21
-2765.96; -2148.62; -2259.95
-6448.10; -6778.43; -6834.10
2145.95; 2758.24; 2702.57
4995.45; 4995.78; 4828.78
-185.99; -16.07; -178.19
-2719.66; -2506.34; -2415.50
-6219.03; -6693.85; -6648.43
2320.80; 2876.72; 2922.14
5948.42; 5512.52; 5648.79
150.72; 47.10; 178.98
-1862.41; -1856.27; -1286.81
-6084.94; -6326.97; -6042.24
3780.41; 2990.02; 3274.75
6062.61; 5611.74; 6465.94
875.79; 585.22; 855.53
-3466.53; -2687.66; -3284.19
-6422.94; -6457.24; -6755.50
1769.27; 1984.07; 1685.80
5292.83; 4564.19; 3669.39
-911.94; -647.96; -967.86
-1519.30; -1828.71; -698.04
-5756.98; -5909.64; -5344.30
3964.24; 3235.35; 3800.69
6452.20; 6246.19; 7942.20
1624.37; 1226.39; 1607.56
-2850.83; -2855.17; -3152.75
-6678.72; -6415.45; -6564.24
1726.55; 2281.58; 2132.79
5519.51; 5561.57; 5115.19
-387.68; -362.58; -480.56
-1486.83; -2031.53; -1212.01
-6523.74; -5597.54; -5187.78
3975.22; 3041.91; 3451.67
6182.37; 6242.60; 7471.89
1159.51; 869.16; 1179.95
-2251.61; -1543.38; -1042.12
-6467.45; -6152.20; -5901.57
3007.00; 3213.35; 3463.98
