a;b;c
-6695.13; -7073.76; -7355.39
1817.82; 2161.74; 1880.11
5290.15; 5187.02; 4342.12
-895.54; -477.15; -934.80
-2898.31; -2813.52; -3324.54
-7093.54; -6702.42; -6957.93
1541.86; 2176.23; 1920.72
4914.48; 4628.09; 3861.55
-679.88; -536.02; -729.30
-1851.30; -2211.21; -1977.88
-6719.94; -6570.06; -6453.40
2648.83; 2979.35; 3096.01
5813.08; 5815.10; 6165.10
334.91; 243.96; 390.37
-2790.19; -3077.67; -3449.29
-6755.80; -7030.10; -7215.91
2118.41; 1983.51; 1797.70
5594.64; 5584.19; 5026.76
-606.37; -344.64; -608.13
-3386.77; -3105.88; -3940.51
-7214.69; -6592.97; -7010.29
1680.83; 2110.69; 1693.37
5357.63; 4665.58; 3413.63
-1279.53; -892.60; -1164.44
-1261.50; -1435.00; -438.42
-6177.32; -6334.83; -5836.54
4069.16; 3163.94; 3662.23
5746.26; 6811.28; 8306.15
1496.37; 1012.00; 1517.15
-2571.91; -3118.54; -3647.25
-7163.76; -7140.42; -7404.78
1945.61; 1580.06; 1315.70
5373.12; 5242.17; 4449.11
-733.13; -594.70; -752.95
-1657.55; -1719.09; -1295.84
-5911.78; -6194.38; -5982.75
3046.55; 3288.11; 3499.74
5512.14; 5958.26; 6593.14
571.97; 492.82; 551.14
-3000.71; -2962.46; -2991.39
-6866.23; -6131.80; -6146.27
2050.50; 2801.41; 2786.94
5299.44; 5643.52; 5600.12
-110.51; -43.51; 51.30
-3534.84; -3213.09; -4088.93
-6671.46; -7210.46; -7648.38
748.73; 1428.33; 990.41
5447.08; 4332.87; 3019.12
-1412.72; -877.97; -1331.66
-2429.68; -2580.44; -2951.04
-6499.30; -6485.62; -6670.92
2303.95; 1721.90; 1536.60
5257.67; 4761.71; 4205.81
-592.36; -410.36; -499.84
-3651.44; -3436.04; -4412.61
-6503.74; -6827.66; -7315.95
1081.33; 1182.35; 694.06
5371.66; 4325.49; 2860.63
-1415.39; -1071.73; -1524.23
-3491.63; -4049.18; -5364.84
-7440.64; -7233.60; -7891.43
475.19; 847.71; 189.88
4745.08; 4378.23; 2404.74
-1911.17; -1268.85; -2020.24
-3308.13; -3118.94; -4022.02
-7251.81; -6458.05; -6909.59
928.67; 1998.04; 1546.50
5172.33; 4119.89; 2765.27
-1404.02; -978.64; -1451.49
-2183.41; -2127.80; -2090.49
-6278.53; -6017.68; -5999.02
2497.01; 2100.65; 2119.31
5704.20; 5300.90; 5356.87
114.93; -49.27; 2.29
-3875.05; -3872.79; -4979.75
-6782.00; -7069.12; -7622.60
870.72; 1598.17; 1044.69
4506.59; 4572.64; 2912.20
-1663.01; -1042.86; -1751.40
-2296.50; -2838.93; -2804.70
-6319.79; -6738.74; -6721.62
3048.63; 2687.41; 2704.53
5868.26; 5955.78; 6007.13
37.84; 8.62; -26.75
-1673.60; -2381.29; -2034.26
-6096.59; -6536.15; -6362.63
2579.42; 2727.45; 2900.97
5205.44; 5986.28; 6506.83
440.97; 308.52; 461.30
-4104.97; -4232.11; -5610.18
-6780.52; -6759.74; -7448.77
481.48; 811.93; 122.89
4995.62; 4018.42; 1951.32
-2069.79; -1370.40; -2124.54
-779.22; -1428.53; -156.20
-6188.51; -6097.86; -5461.70
4814.38; 3971.53; 4607.70
6114.52; 6512.08; 8420.58
1983.57; 1244.75; 1924.91
-2050.54; -2296.23; -1636.68
-5978.11; -6051.83; -5722.05
3524.19; 2679.09; 3008.86
6320.50; 5941.27; 6930.60
1072.10; 636.62; 985.79
-2473.59; -2820.55; -3012.31
-6246.61; -7090.47; -7186.35
2582.45; 2752.24; 2656.36
5505.52; 5724.94; 5437.31
-352.06; -275.26; -309.70
-1095.46; -1190.45; 203.71
-6015.04; -5323.89; -4626.81
4794.16; 3877.24; 4574.32
5994.53; 6909.63; 9000.87
2095.71; 1431.07; 2120.72
-3165.61; -2623.35; -2888.65
-6330.03; -7017.43; -7150.07
2354.35; 2244.27; 2111.62
5179.28; 4784.57; 4386.62
-482.27; -318.58; -453.22
-2452.56; -2627.19; -2651.69
-6260.68; -6241.84; -6254.09
2855.97; 2930.37; 2918.12
5449.27; 5351.92; 5315.17
-69.21; -56.48; 51.54
-3198.12; -2696.96; -3181.05
-7177.38; -7006.30; -7248.34
2224.42; 2238.50; 1996.45
4922.25; 4881.92; 4155.79
-802.97; -523.85; -630.52
-1832.85; -1845.72; -1494.25
-6492.64; -6393.64; -6217.91
2647.70; 2501.81; 2677.54
5628.86; 5529.24; 6056.44
549.07; 428.66; 524.59
-3391.81; -3197.87; -3617.51
-6901.83; -6422.51; -6632.33
1982.15; 1842.52; 1632.70
5575.46; 4999.53; 4370.07
-604.12; -415.79; -587.52
-3049.26; -3262.29; -4013.36
-6822.46; -6550.22; -6925.75
1546.81; 2209.32; 1833.78
5578.57; 4347.01; 3220.41
-1079.65; -709.49; -1219.16
-2519.78; -2382.04; -2490.15
-6262.39; -6982.74; -7036.80
2110.94; 2596.00; 2541.95
5168.05; 5087.65; 4925.49
-136.95; -94.46; -160.59
-2950.02; -2547.11; -2797.67
-7033.09; -6866.90; -6992.18
2111.90; 2703.43; 2578.15
4925.38; 4969.20; 4593.36
-294.65; -223.31; -332.00
-3036.29; -2669.48; -3152.86
-6848.58; -6701.34; -6943.03
2140.04; 2058.85; 1817.16
5414.43; 5360.04; 4634.97
-678.76; -495.54; -706.10
-2127.09; -2394.63; -1982.50
-6662.08; -5992.68; -5786.62
3306.89; 3016.27; 3222.33
5342.62; 5740.63; 6358.82
671.10; 442.88; 691.21
-2596.26; -2661.32; -2793.34
-6528.68; -6368.86; -6434.87
2063.32; 2448.92; 2382.91
5787.47; 5128.36; 4930.33
-243.46; -100.87; -285.91
-1198.29; -1971.45; -1098.29
-6068.20; -6421.97; -5985.39
3808.78; 3407.30; 3843.88
5544.58; 5981.44; 7291.18
1261.32; 834.56; 1250.47
-677.44; -1156.61; 438.75
-5408.54; -5252.39; -4454.71
4818.79; 4235.33; 5033.01
6295.07; 7337.72; 9730.75
2481.08; 1688.47; 2448.92
-3002.59; -2376.83; -2383.52
-6814.63; -6382.23; -6385.57
2669.82; 2611.47; 2608.13
5295.01; 5830.91; 5820.88
-29.92; 27.31; 72.56
-2254.79; -2235.02; -2176.70
-6222.13; -6181.26; -6152.11
2936.88; 2963.84; 2993.00
5031.98; 5478.31; 5565.79
1.93; -12.62; 183.86
-2838.81; -3100.30; -3366.83
-6493.97; -6904.28; -7037.55
2493.70; 2079.04; 1945.77
5838.15; 5390.85; 4991.05
-331.83; -197.07; -397.28
-2305.89; -2977.22; -3133.69
-6937.28; -6657.78; -6736.02
1946.36; 2765.68; 2687.45
5885.11; 5527.95; 5293.25
-198.51; -72.93; -257.48
-2213.38; -2656.92; -2754.26
-6094.23; -6404.76; -6453.43
1891.82; 2215.72; 2167.06
5257.45; 5716.57; 5570.56
-112.89; -75.18; -221.95
-691.63; -667.23; 841.53
-5729.19; -5935.42; -5181.04
4981.15; 4354.78; 5109.16
6478.67; 7248.59; 9511.73
2221.27; 1526.69; 2346.27
-2478.58; -2195.70; -2040.67
-5985.61; -6837.71; -6760.19
2812.17; 2830.35; 2907.87
5695.02; 6066.18; 6298.73
211.68; 238.53; 146.36
-2766.93; -2889.93; -2887.95
-6257.62; -6368.60; -6367.61
2336.52; 2919.68; 2920.67
5275.60; 5932.82; 5935.79
93.59; 63.01; 75.04
-3453.55; -2832.77; -3321.04
-7168.48; -6461.94; -6706.08
1712.97; 1909.89; 1665.76
5570.48; 5106.50; 4374.10
-750.29; -523.34; -706.05
-3693.55; -3747.33; -4546.37
-6904.46; -7192.70; -7592.23
1672.11; 1858.96; 1459.44
4965.67; 5104.99; 3906.43
-1142.57; -711.32; -1244.61
-2300.86; -2272.11; -1866.89
-6443.74; -6096.37; -5893.76
2660.33; 3079.32; 3281.93
5535.06; 5624.80; 6232.64
539.96; 405.21; 689.67
-4131.24; -3256.41; -4397.41
-7331.30; -6827.66; -7398.16
582.74; 1258.69; 688.19
5290.66; 4212.46; 2500.95
-1681.14; -1081.30; -1730.21
-1721.10; -1871.19; -743.39
-5822.68; -5787.14; -5223.24
4449.36; 3187.92; 3751.82
6392.17; 6854.43; 8546.13
1718.70; 1041.97; 1751.19
-2120.90; -2944.56; -3046.08
-6378.01; -6874.21; -6924.97
1994.60; 2798.26; 2747.50
5842.66; 5872.18; 5719.90
-224.63; -25.08; -249.57
-1924.63; -1555.53; -982.51
-6273.82; -5941.85; -5655.35
3292.21; 3461.02; 3747.53
6281.61; 5604.72; 6464.24
949.55; 551.54; 934.52
-2454.11; -3113.03; -3425.28
-6832.81; -6874.10; -7030.22
2014.14; 2333.71; 2177.59
5614.55; 5624.41; 5156.04
-377.11; -244.20; -394.61
-3621.05; -2987.52; -3925.84
-6621.57; -6565.09; -7034.26
1575.66; 1566.10; 1096.94
4862.19; 5047.07; 3639.58
-1457.82; -1024.99; -1485.04
-2115.03; -2264.87; -2259.08
-6765.56; -6132.14; -6129.25
2568.83; 2750.89; 2753.79
5047.48; 5991.20; 5999.89
-75.42; -29.68; 15.56
-2497.76; -2270.89; -2150.36
-6329.43; -6225.98; -6165.72
2801.91; 3085.07; 3145.33
5269.94; 5325.19; 5505.98
100.56; 193.47; 138.21
-623.62; -1126.40; 345.01
-5315.90; -5522.51; -4786.81
4373.67; 3630.63; 4366.34
6295.11; 7014.11; 9221.22
2284.15; 1510.09; 2161.43
-3204.29; -2941.83; -3622.20
-6964.40; -7032.05; -7372.23
1587.68; 2228.88; 1888.70
5480.61; 4677.87; 3657.32
-921.46; -691.67; -1067.17
-3227.92; -2663.67; -3204.26
-6899.50; -6502.60; -6772.89
2111.56; 2438.78; 2168.49
5496.21; 4591.19; 3780.30
-851.61; -555.27; -716.87
-2274.51; -2156.07; -1543.75
-5968.50; -5695.21; -5389.05
3088.73; 3234.77; 3540.93
6257.68; 5894.37; 6812.85
837.76; 687.34; 866.03
-1436.37; -1631.48; -1020.77
-6106.40; -6202.21; -5896.86
3216.60; 2628.72; 2934.07
6082.11; 5633.25; 6549.32
872.35; 568.12; 940.13
-3090.82; -3117.47; -3575.87
-6539.57; -6250.79; -6479.99
1995.93; 1765.56; 1536.36
4934.34; 5155.26; 4467.66
-604.74; -506.22; -626.89
-2465.66; -2127.71; -2174.56
-6491.78; -6491.45; -6514.87
2570.25; 2706.12; 2682.70
5318.71; 5414.07; 5343.80
-52.70; -64.26; -159.29
-1917.02; -2040.70; -1591.79
-6131.37; -5918.39; -5693.94
2960.18; 2592.79; 2817.25
5898.32; 6155.69; 6829.05
591.49; 395.66; 585.02
-2778.12; -2437.70; -2648.16
-6427.68; -7007.75; -7112.98
2329.68; 2653.06; 2547.83
5058.93; 5250.57; 4934.88
-250.05; -198.67; -224.96
-2222.70; -1542.68; -986.33
-6237.56; -6617.12; -6338.94
3096.10; 2612.69; 2890.87
5842.15; 6383.50; 7218.03
793.14; 571.15; 764.49
-3112.54; -2655.01; -2867.17
-6235.63; -6830.07; -6936.15
2074.28; 1827.76; 1721.68
4920.71; 5760.23; 5441.99
-263.77; -224.25; -304.48
-3747.86; -3344.53; -4477.01
-6640.09; -6750.81; -7317.05
829.93; 1660.29; 1094.05
5421.16; 4240.01; 2541.30
-1741.91; -1130.23; -1690.29
-1894.45; -1309.85; -554.31
-5915.94; -5896.69; -5518.92
3990.60; 3054.08; 3431.86
6319.07; 6479.16; 7612.48
1201.22; 739.29; 1143.88
-1975.42; -2513.96; -2339.10
-6520.79; -6007.44; -5920.01
2572.27; 2254.10; 2341.53
5165.66; 5868.88; 6131.17
294.51; 77.08; 200.44
-2092.82; -2601.68; -2401.80
-6489.75; -6637.23; -6537.29
3159.66; 2573.39; 2673.33
5739.20; 5369.38; 5669.20
353.42; 142.99; 325.23
-2276.21; -2283.18; -2529.32
-7120.73; -6758.33; -6881.40
2474.60; 2552.61; 2429.54
5295.18; 4790.64; 4421.43
-393.23; -202.94; -316.28
-2512.00; -3151.01; -3542.55
-7158.13; -6697.13; -6892.90
2030.49; 1654.15; 1458.38
5064.03; 4768.10; 4180.79
-572.33; -467.50; -683.53
-2544.03; -3180.28; -3382.32
-6384.18; -7019.03; -7120.05
2108.91; 2422.72; 2321.70
5780.06; 5256.59; 4953.52
-398.28; -145.16; -355.12
-3502.96; -3605.92; -4477.76
-7311.29; -6983.03; -7418.94
904.41; 1981.90; 1545.99
5537.95; 4890.46; 3582.71
-1310.28; -809.18; -1282.37
-2877.60; -2759.65; -2956.21
-6489.39; -6621.82; -6720.10
1947.48; 2050.80; 1952.53
5237.15; 4951.80; 4656.97
-325.56; -141.73; -369.17
-3615.23; -3880.47; -4945.80
-6699.11; -6643.06; -7175.73
1234.82; 1373.06; 840.39
5032.58; 4118.44; 2520.45
-1667.85; -1115.69; -1665.91
-2836.88; -2513.97; -2474.56
-6743.14; -6310.74; -6291.04
2791.47; 2357.85; 2377.56
5256.44; 5411.85; 5470.96
94.39; 38.34; 36.38
-1776.59; -1670.70; -844.47
-5819.82; -6466.45; -6053.34
3405.98; 3743.03; 4156.15
6147.82; 6218.78; 7458.12
1239.90; 773.17; 1157.26
-2029.27; -1441.48; -593.41
-5609.42; -5928.09; -5504.05
3390.16; 3482.51; 3906.55
6273.13; 6832.50; 8104.60
1194.53; 876.14; 1224.68
-2745.92; -2609.74; -2497.85
-6150.48; -6276.25; -6220.31
2805.55; 2695.40; 2751.34
5706.35; 5286.59; 5454.41
189.20; 137.31; 104.62
-2324.59; -2370.96; -2135.11
-5921.37; -6310.96; -6193.04
3332.01; 3029.25; 3147.18
5464.97; 5900.43; 6254.22
293.37; 328.90; 310.02
-1975.80; -2291.14; -2190.86
-6089.23; -6437.32; -6387.19
2939.47; 2382.47; 2432.61
5923.60; 5663.78; 5814.20
149.47; 77.47; 171.45
-2469.17; -2185.26; -1785.05
-6493.57; -5960.09; -5759.99
2645.67; 2683.50; 2883.60
5831.84; 5908.46; 6508.77
526.78; 457.34; 623.68
-2515.31; -2801.20; -2808.58
-6845.48; -6813.21; -6816.90
2953.91; 2862.07; 2858.38
5644.32; 5268.00; 5256.94
-73.30; -99.34; 43.88
-2511.76; -2955.20; -3293.90
-6605.79; -6602.75; -6772.11
2392.43; 1741.81; 1572.46
5763.72; 4831.04; 4322.98
-457.14; -290.37; -474.16
-3331.58; -2985.91; -3551.73
-6950.90; -6667.73; -6950.64
1483.98; 2131.71; 1848.80
4872.46; 4920.97; 4072.24
-912.89; -509.70; -864.26
-2155.30; -1622.10; -1092.49
-6579.53; -6136.28; -5871.47
2897.50; 3169.44; 3434.25
5348.72; 5576.89; 6371.31
759.17; 583.69; 885.56
-2758.08; -3129.25; -3623.88
-6474.93; -6481.63; -6728.94
2240.56; 1654.23; 1406.92
5364.07; 5201.22; 4459.27
-671.89; -445.23; -719.91
-2645.86; -1947.83; -1679.44
-6263.34; -6580.20; -6446.00
2728.76; 2556.52; 2690.71
5747.71; 5291.31; 5693.90
329.02; 174.31; 497.75
-2449.76; -3228.01; -3625.39
-6211.76; -6525.56; -6724.25
2121.06; 2258.46; 2059.77
4911.88; 4788.96; 4192.90
-618.67; -420.84; -563.91
-4099.68; -4129.76; -5863.73
-7643.22; -7463.85; -8330.84
97.78; 1058.34; 191.35
4410.74; 4120.77; 1519.82
-2521.88; -1795.66; -2521.28
-1190.43; -1675.48; -830.42
-6151.86; -6385.92; -5963.39
3344.35; 3548.40; 3970.93
5608.53; 6054.94; 7322.53
1248.36; 839.73; 1201.30
-2922.54; -2909.61; -3103.17
-6569.88; -6387.75; -6484.53
2648.65; 2138.27; 2041.49
5572.25; 5137.93; 4847.59
-255.07; -171.94; -367.68
-2635.65; -2984.35; -3366.70
-7063.39; -6461.38; -6652.55
1543.04; 2038.46; 1847.28
4896.11; 5224.29; 4650.76
-615.32; -437.83; -643.17
-2575.12; -2266.28; -1950.64
-6281.95; -6304.47; -6146.65
3110.48; 2955.62; 3113.43
6074.91; 6270.70; 6744.15
568.56; 284.82; 536.30
-3035.79; -2905.22; -3252.71
-6389.14; -6935.13; -7108.88
1920.38; 1801.23; 1627.49
5279.66; 5457.44; 4936.20
-549.31; -420.05; -427.41
-3562.61; -2687.27; -3287.77
-7143.09; -6924.41; -7224.66
1878.25; 1952.43; 1652.18
5624.30; 5006.57; 4105.82
-842.46; -693.57; -953.06
-1996.44; -2541.62; -2134.42
-5989.92; -6378.70; -6175.10
3314.32; 2441.48; 2645.07
5217.99; 5532.18; 6142.97
550.67; 481.95; 645.29
-3419.39; -2917.61; -3519.68
-6767.56; -6437.13; -6738.16
1905.45; 2207.85; 1906.82
4787.10; 5266.32; 4363.22
-905.15; -573.17; -918.17
-3108.03; -2794.64; -3246.35
-6845.00; -6513.03; -6738.89
1992.37; 2108.92; 1883.07
4908.21; 5344.47; 4666.91
-648.43; -356.64; -677.17
-2080.05; -2483.26; -1976.36
-6324.50; -6278.80; -6025.35
3091.32; 3125.69; 3379.14
6007.75; 5608.55; 6368.90
816.48; 410.01; 799.40
-2151.26; -1887.40; -1165.02
-6091.16; -5662.98; -5301.79
3103.25; 3173.65; 3534.84
6155.68; 6041.73; 7125.29
1154.15; 807.40; 1075.04
-3550.84; -3342.42; -4678.67
-7450.71; -7026.13; -7694.26
675.05; 999.96; 331.84
5193.95; 4646.98; 2642.60
-1975.25; -1397.46; -1951.32
-1823.28; -1577.29; -476.50
-6440.53; -5574.52; -5024.13
3770.10; 3267.11; 3817.51
6247.63; 6138.42; 7789.60
1563.83; 1166.90; 1555.83
-1368.93; -1034.84; 490.99
-5388.52; -5856.41; -5093.49
4353.77; 4094.77; 4857.69
6663.62; 7078.03; 9366.77
2267.47; 1451.50; 2376.80
-3031.99; -2784.64; -3065.63
-7075.99; -6864.89; -7005.39
2030.49; 2075.18; 1934.68
5819.07; 4942.11; 4520.62
-509.20; -244.47; -321.95
-1734.65; -1288.64; -310.98
-6047.80; -6351.24; -5862.40
4463.82; 3448.52; 3937.35
6412.51; 5995.30; 7461.79
1477.77; 1011.22; 1404.17
-3240.81; -3416.02; -3848.49
-6419.52; -6318.35; -6534.58
1891.71; 1885.56; 1669.32
4994.62; 4679.78; 4031.07
-664.43; -392.30; -639.87
-3338.34; -3635.81; -4648.73
-6821.37; -7391.96; -7898.42
863.91; 1055.01; 548.55
4822.95; 4098.45; 2579.07
-1497.22; -1084.80; -1594.23
-2335.53; -1861.63; -1667.96
-6651.51; -5996.92; -5900.09
2552.09; 2361.05; 2457.88
5439.15; 5830.41; 6120.91
380.08; 173.75; 233.60
-1369.01; -1665.56; -356.57
-6326.24; -5810.11; -5155.61
4826.00; 3921.50; 4576.00
5755.09; 6520.86; 8484.36
1992.53; 1364.94; 2055.78
-2109.35; -2050.15; -1494.95
-6379.47; -6630.64; -6353.04
3483.38; 3334.73; 3612.34
5626.22; 5705.39; 6538.20
870.92; 583.00; 857.96
-2348.52; -2412.69; -1982.94
-6355.21; -6334.87; -6120.00
2950.79; 2510.38; 2725.25
5825.26; 6275.03; 6919.66
638.28; 498.77; 631.22
-2653.93; -2017.18; -2021.68
-6619.07; -6986.18; -6988.43
2123.54; 2863.90; 2861.65
5460.97; 5855.17; 5848.42
-74.38; 22.96; 44.43
-2646.71; -2533.75; -2979.33
-6469.78; -6914.12; -7136.91
1477.30; 1648.30; 1425.51
5070.34; 5064.84; 4396.47
-607.51; -367.66; -747.86
-1679.94; -1555.53; -675.11
-6165.42; -5748.49; -5308.28
3832.11; 3363.13; 3803.34
5842.30; 6809.44; 8130.07
1289.05; 842.86; 1229.33
-2333.10; -2700.83; -2949.40
-7097.92; -6571.94; -6696.22
2264.99; 1986.15; 1861.86
5406.52; 5519.75; 5146.89
-421.34; -235.50; -462.45
-2332.45; -1839.00; -1344.71
-5891.48; -5782.50; -5535.35
3150.11; 3139.67; 3386.81
6217.01; 5760.42; 6501.86
786.27; 525.35; 647.48
-2649.42; -2228.96; -2409.87
-6406.88; -6517.89; -6608.34
2718.15; 2164.28; 2073.82
5889.33; 5617.76; 5346.39
-265.19; -226.37; -286.93
-1956.71; -2314.49; -2027.41
-6452.47; -6164.91; -6021.37
3020.23; 2360.46; 2504.00
5676.51; 5925.89; 6356.52
359.86; 372.46; 395.37
-2744.44; -2112.13; -1924.48
-6441.93; -6343.33; -6249.50
2840.63; 2967.41; 3061.24
6070.21; 5699.65; 5981.12
354.18; 271.04; 314.64
-1741.74; -2009.11; -1660.30
-6609.76; -6068.81; -5894.40
2573.77; 2713.83; 2888.24
5447.28; 5699.29; 6222.51
435.97; 384.84; 511.74
-3770.93; -3967.51; -5141.58
-7374.67; -7250.08; -7837.12
908.36; 1276.18; 689.14
5178.55; 4758.13; 2997.03
-1678.87; -1119.96; -1760.54
-666.11; -595.71; 1019.77
-5441.81; -6057.83; -5250.08
5201.42; 3703.72; 4511.46
6517.50; 7448.00; 9871.22
2341.94; 1679.77; 2501.09
-1702.44; -1521.71; -579.86
-6260.67; -5758.09; -5287.16
4346.20; 3787.13; 4258.06
5901.76; 6242.66; 7655.44
1500.37; 895.10; 1415.51
-3548.08; -3199.62; -3945.99
-6432.85; -7348.68; -7721.86
1572.56; 2126.48; 1753.30
5350.43; 4272.21; 3152.65
-1139.07; -826.58; -1071.84
-1486.32; -1349.26; -384.55
-5835.82; -5726.82; -5244.47
4262.51; 3795.05; 4277.40
6463.29; 6513.49; 7960.55
1488.11; 1023.03; 1528.00
-2810.10; -2382.17; -2398.55
-6438.00; -6137.03; -6145.22
2110.54; 2590.28; 2582.09
5788.33; 5834.04; 5809.48
57.72; 53.49; -86.69
-1972.11; -2272.29; -2115.22
-6163.23; -6540.71; -6462.18
2577.64; 2615.37; 2693.91
5965.14; 5171.29; 5406.90
232.64; 81.73; 186.93
-4272.69; -3509.00; -4793.57
-6906.13; -7226.61; -7868.90
1049.86; 1304.19; 661.90
4709.06; 3951.39; 2024.54
-1871.64; -1279.69; -1937.66
-3351.56; -3490.07; -4652.33
-6667.46; -7186.94; -7768.07
519.20; 1166.22; 585.09
4736.93; 4340.99; 2597.60
-1836.23; -1153.68; -1799.34
-2214.27; -2200.10; -1913.53
-6375.29; -6725.56; -6582.28
2967.59; 3097.91; 3241.19
5888.14; 6186.83; 6616.69
402.65; 226.48; 469.89
-3237.58; -3335.34; -3675.14
-6371.82; -6891.55; -7061.45
2392.73; 2501.02; 2331.13
5273.94; 5238.08; 4728.39
-590.68; -370.07; -429.98
-3591.13; -3268.47; -3963.92
-7082.02; -6867.54; -7215.26
1832.75; 2255.30; 1907.58
5286.82; 4811.05; 3767.87
-1087.49; -619.94; -1103.29
-2909.98; -3245.23; -3703.12
-6776.68; -6724.45; -6953.39
1922.90; 2536.98; 2308.03
5218.67; 4773.17; 4086.33
-725.79; -374.09; -673.78
-2088.52; -2668.20; -2488.70
-6092.06; -6005.42; -5915.68
3120.39; 3108.40; 3198.15
5125.93; 6159.20; 6428.45
208.59; 161.80; 342.31
-2433.28; -2994.38; -3289.82
-6224.39; -6455.31; -6603.03
1964.93; 2115.01; 1967.29
5316.20; 4724.85; 4281.69
-468.05; -298.96; -496.12
-1365.45; -2046.04; -1270.94
-5703.11; -5967.39; -5579.83
3749.10; 3343.49; 3731.04
6089.71; 5937.47; 7100.12
1193.75; 813.75; 1122.69
-2785.74; -3192.20; -3481.05
-6748.35; -6447.24; -6591.67
2403.43; 2413.57; 2269.15
4882.05; 5191.57; 4758.30
-499.12; -260.28; -456.11
-941.85; -640.68; 961.57
-5868.66; -6137.61; -5336.49
4468.72; 3709.19; 4510.31
6646.37; 6749.05; 9152.41
2436.87; 1613.15; 2437.87
-2785.10; -2781.13; -3209.87
-7004.08; -6960.32; -7174.68
1800.97; 2158.83; 1944.46
4921.77; 4854.77; 4211.66
-654.43; -482.15; -687.85
-2567.98; -2834.05; -3011.97
-6637.04; -7022.81; -7111.77
1766.77; 2343.24; 2254.28
5029.17; 4876.57; 4609.69
-174.66; -230.13; -333.78
-1934.19; -1566.46; -510.62
-5548.48; -6462.16; -5934.24
3644.35; 3951.85; 4479.77
5696.92; 6524.79; 8108.55
1630.48; 1049.27; 1629.75
-3063.85; -2747.35; -3059.86
-6428.68; -7060.26; -7216.51
2179.28; 2309.13; 2152.87
5673.19; 5538.24; 5069.48
-492.31; -255.86; -542.29
-2092.14; -2585.17; -2669.59
-6834.79; -7003.81; -7046.02
2522.85; 2025.81; 1983.60
5734.30; 5188.86; 5062.22
-82.61; -154.05; -67.71
-3282.08; -3128.41; -3701.63
-6681.01; -6331.57; -6618.18
1359.30; 1556.06; 1269.45
5011.16; 4603.46; 3743.64
-949.19; -659.56; -815.60
-3277.40; -3165.99; -3893.60
-6602.56; -7306.81; -7670.61
1331.71; 1928.38; 1564.57
5354.70; 4773.87; 3682.44
-1122.48; -696.61; -1120.09
-851.00; -1538.83; -270.35
-5926.92; -5389.37; -4755.13
4302.76; 3277.42; 3911.66
5920.48; 6573.02; 8475.74
1813.57; 1296.33; 1891.45
-3543.43; -3370.89; -4200.81
-6504.91; -6953.85; -7368.81
1726.46; 1594.01; 1179.05
5213.21; 4498.12; 3253.24
-1319.35; -856.57; -1163.41
-3544.10; -3104.73; -4099.27
-7084.23; -7486.07; -7983.33
541.08; 1409.10; 911.83
5409.35; 4359.54; 2867.73
-1397.07; -1059.36; -1443.55
-1818.79; -1817.26; -1582.32
-5953.72; -6088.53; -5971.06
2963.06; 2877.21; 2994.69
5621.59; 5996.11; 6348.52
428.38; 256.60; 279.10
-1719.71; -2031.45; -1356.05
-5953.78; -6388.88; -6051.17
3718.59; 3667.80; 4005.50
5566.15; 6235.92; 7249.02
1012.58; 637.09; 1021.88
-2324.54; -1941.08; -1826.29
-6065.97; -6087.61; -6030.22
2804.62; 2370.20; 2427.59
5243.26; 5815.06; 5987.24
107.63; 185.16; 236.55
-2241.05; -1976.13; -1560.04
-6603.01; -5887.99; -5679.94
3376.31; 3363.08; 3571.13
6154.82; 6277.70; 6901.84
615.41; 502.57; 689.87
-2372.56; -2038.76; -1532.55
-6527.80; -6596.29; -6343.18
3449.97; 2748.32; 3001.42
5547.83; 6252.69; 7012.01
838.29; 586.45; 707.76
-2928.44; -2146.00; -2181.48
-6700.38; -6862.58; -6880.32
2934.57; 2529.37; 2511.63
5818.72; 5415.00; 5361.78
14.02; -9.23; -84.23
-2915.39; -2927.14; -2978.92
-6584.03; -6949.78; -6975.67
2093.95; 2007.55; 1981.65
5436.80; 5653.36; 5575.68
-83.47; -11.24; -1.25
-1835.92; -2026.39; -1550.10
-5974.41; -6708.70; -6470.56
3534.12; 3236.95; 3475.09
5813.15; 5625.15; 6339.58
784.16; 506.86; 650.85
-3127.80; -2703.63; -3084.58
-6283.69; -7181.67; -7372.15
1978.72; 2322.61; 2132.13
5301.48; 4657.27; 4085.84
-651.51; -366.26; -517.31
-1373.48; -1167.03; -141.92
-6013.46; -6023.25; -5510.69
4438.74; 3652.61; 4165.16
5558.91; 6374.31; 7911.97
1566.82; 1047.51; 1634.90
-2820.36; -2110.93; -2219.76
-6873.23; -6772.76; -6827.17
2671.03; 2193.32; 2138.91
5645.04; 5578.64; 5415.40
-131.13; -108.40; -194.35
-1935.98; -1682.12; -884.40
-5743.26; -6461.48; -6062.62
3771.47; 2917.17; 3316.03
6210.39; 6407.16; 7603.74
1206.15; 834.77; 1270.06
-2580.85; -2812.31; -3048.77
-6302.15; -6558.25; -6676.48
2188.66; 2450.40; 2332.17
5516.82; 5653.46; 5298.77
-331.89; -328.00; -304.81
-1978.65; -1634.26; -1106.75
-6553.03; -6052.23; -5788.48
3314.28; 3349.33; 3613.08
5994.54; 6519.26; 7310.53
870.99; 565.89; 807.27
-1754.87; -2498.21; -2046.08
-6152.18; -6455.52; -6229.45
3303.14; 2695.30; 2921.36
5268.09; 5579.86; 6258.05
